Extension	File type description
0-w	Png file
10x	Gemini 10x printer bitmap graphics
177	Image file
24b	Bitmap graphics (24-bit data) file
255	SBIG Astronomical Image
3pr	Hasselblad Camera RAW file format
695	RISC OS GIF image file
697	RISC OS PCX bitmap image file
69c	RISC OS BMP Windows bitmap image file
73i	TI bitmap file
82i	TI bitmap file
83i	TI bitmap file
854	Bitmap image file
85i	TI bitmap file
86i	TI bitmap file
89i	TI bitmap file
8xi	TI-83/84 Plus picture file
92i	TI bitmap file
9xi	Texas Instruments TI-92 Plus bitmap file
a2fc	Apple IIe picture image file
a2hr	Apple II+ image file
a2lc	Apple II+ image file
abt	ABC-View Manager thumbnail file
ach	Speccy ZX Spectrum snapshot file
acorn	Acorn draw file
acr	Bitmap graphics
acr	Dicom medicine image file format
adc	Scanstudio 16 colours bitmap graphics
adex	Adex bitmap graphics file
adx	ALSee thumbnail file
afi	Truevision Bitmap graphics
agif	Active GIF Creator project file
agp	ArtGem project file
ahf	Bitmap graphics file
ahrp	Apple II+ image file
aid	ACDSee Classic thumbnail file
aio	Bitmap file
alias	Alias image file
als	Alias fmage file
anv	AirNav image file
apng	Animated portable network graphics file
apt	APT encoded bitmap file
apu	Canon RAW file
apx	Ability Photopaint image file
arf	FITS auxiliary response file
ars	Aries (DIPIX) image
art	First Publisher raster graphic file
artwork	ArtStudio image file
arw	Sony Digital Camera RAW image file
arw	ArtStudio image file
atk	Andrew Toolkit raster object file
att	AT&T Group 4 bitmap graphics
avs	Stardent AVS X bitmap image file
b&w	Bitmap image (atari - mac)
b60	RISC OS PNG bitmap image file
ba0	B.O.U.T. Evolution texture file
ba2	B.O.U.T. Evolution low res texture file
bbm	Deluxe Paint bitmap image file
bdf	X11 Bitmap Distribution Format
bfl	BFLI image format
bfli	BFLI image format
bga	OS/2 graphic array
bgb	Microsoft Chat Background Graphic
bif	byLight image format
big	Michelin autoroute maps image file
bil	Satellite image file
bil	ArcView band interleaved by line image format
bip	ArcView band interleaved by pixel image file
bit	X11 bitmap image
blz	Bitmap graphic file
bm	X Windows system bitmap image
bm2	Subspace/Continuum bitmap graphic file
bml	BPM Studio skin bitmap
bmp	Alpha Microsystem image file
bmp	Standard Windows Bitmap image (also OS/2)
bmp24	24 color Bitmap file
bmpf	Bitmap image
bmpp	Microsoft Windows bitmap file
bmp_	Standard Windows Bitmap image file
bmx	BMXdesign extended bitmap graphic file
bmz	Compressed bitmap file
bob	BOB Raytracer bitmap image
bpp	BatchPhoto project file
bpt	CorelDRAW bitmap master file
bpx	Truevision Targa bitmap image
bsq	ArcView band sequential image file
btf	TIFF 6.0 image file
btn	JustButtons animated bitmap image file
btpc	BTPC encoded bitmap file
bw	Silicon Graphics image file
bwc	BeadWizard color palette
c4	JEDMICS bitmap image file
c85	RISC OS JPEG bitmap image file
cal	CALS Raster image file
cam	Casio QV digital CAMera image file
cbm	XLib compiled bitmap picture file
cbm	Fuzzy bitmap image format
cch	Photomodeler photochip thumbnail file
ccrf	Calcomp raster bitmap image file
cd5	Chasys Draw image
cdc	Autodesk AutoCAD DesignCenter preview cache file
cdr3	CorelDRAW 3 for Mac vector or bitmap image
cdr4	CorelDRAW 4 for Mac vector or bitmap image
cdr5	CorelDRAW 5 for Mac vector or bitmap image
cdr6	CorelDRAW 6 for Mac vector or bitmap image
cdrw	CorelDRAW for Mac file
CDRZIP	DICOM compressed image file
ce	Digital Vision ComputerEyes IFF bitmap file
ce1	Computer Eyes Raw image format
ce2	Computer Eyes Raw image format
cel	Autodesk Animator, 3D Studio cel bitmap animation
cel	Lumena CEL bitmap image
cex	ThumbsPlus file
cfp	bitmap native format for CoverFactory
cg4	CALS Group IV bitmap graphics file
cga	CGA bitmap file
cib	Compressed RAW image file
cim	C Text Mode image file
cimg	CImg image file
cin	Kodak Cineon image format
clgx	Collage Maker collage file
clp	Bitmap image file
cmp	Leadview bitmap file
cmu	CMU Window Manager bitmap image
cmyk	Raw cyan, magenta, yellow and black bytes bitmap image file
cmyka	Raw cyan, magenta, yellow, black, and alpha samples image
cng	National Geographic image file
cpd	Compression PhotoDefiner image file
cpd	CorelDRAW Corel PrintOffice drawing file
cph	Corel Print House printing project file
cr	Iris CT format bitmap image
cr2	Canon digital camera RAW image format version 2.0
crf	Calcomp raster file
crw	Canon digital camera RAW image format
cs1	Sinar CaptureShop
cslm	Zeiss CSLM bitmap file
ct	IRIS CT image file
ct	SciTex continuous Tone bitmap image (32bit CMYK)
ct	Contone printer file
ctf	TIFF compressed file
cube	Cubicomp/Vertigo image file
cut	Dr. Halo bitmap file
cvs	Canvas bitmap or vector image
cwgr	ClarisWorks drawing file
cwpt	ClarisWorks Painting drawing file
cy	Ccs-lib.2 Jpeg-v4 file
d3s	Nikon image format
d3x	Nikon image format
dah	AutoPlay Media Studio splash image file
dbse	Extensis' Portfolio Image database file
dbx	DATABEAM bitmap image
dc2	Kodak DC25 Digital Camera file
dcm	Dicom medicine image file format
dcr	Kodak Digital Camera Raw Image Format
dct	DALiM LiTHO continuous tone bitmap file
dcx	Zsoft PC Publisher's Paintbrush image (multi-pcx file)
ddb	Device dependent bitmap graphics file
dds	Direct Draw surface file
design	Microsoft Expression Design drawing file
df	NCSA hierarchical data file
dgf	Tajima Embroidery Design thumbnail file
dhp	Dr. Halo II-III bitmap file
dhr	Apple II 2bit image file
dhrp	Image Apple IIe / Apple IIc, Double Hi-Res 2 colors compressed
dib	Device-Independent bitmap graphic
dic	Medicine image file
dicm	Medicine image file
dicom	Medicine image file format
dil	Dialog LOTUS or HighEdit import-export images
dip	Windows bitmap format
djv	DjVu image file
djvu	DjVu image file
dng	Adobe digital negative
dpx	Kodak Cineon image format file
dpx	Digital Moving Picture Exchange bitmap file
drg	Digital Raster Graphics
drv	Traverse PC Desktop drawing file
drw2	Canvas 3.5 Drawing file
drw5	Canvas 5 drawing file
dt2	Microsoft Live Messenger avatar file
dvl	Dalim Virtual Library file
dx	Auto-trol raster image
